stunt, VehicleHash: Stunt
tropos, VehicleHash: Tropos
brioso, VehicleHash: Brioso
tornado6, VehicleHash: Tornado6
raptor, VehicleHash: Raptor
chimera, VehicleHash: Chimera
vortex, VehicleHash: Vortex
sanctus, VehicleHash: Sanctus
nightblade, VehicleHash: Nightblade
zombiea, VehicleHash: ZombieA
zombieb, VehicleHash: ZombieB
defiler, VehicleHash: Defiler
ratbike, VehicleHash: RatBike
shotaro, VehicleHash: Shotaro
manchez, VehicleHash: Manchez
blazer4, VehicleHash: Blazer4
tempesta, VehicleHash: Tempesta
italigtb, VehicleHash: ItaliGTB
nero2, VehicleHash: Nero2
specter, VehicleHash: Specter
dune4, VehicleHash: Dune4
wastelander, VehicleHash: Wastelander
ruiner3, VehicleHash: Ruiner3
turismo2, VehicleHash: Turismo2
infernus2, VehicleHash: Infernus2
gp1, VehicleHash: GP1
trailers4, VehicleHash: Trailers4
xa21, VehicleHash: XA21
vagner, VehicleHash: Vagner
insurgent3, VehicleHash: Insurgent3
apc, VehicleHash: Apc
blista3, VehicleHash: Blista3
dune3, VehicleHash: Dune3
ardent, VehicleHash: Ardent
stalion2, VehicleHash: Stalion2
blista2, VehicleHash: Blista2
gauntlet2, VehicleHash: Gauntlet2
submersible2, VehicleHash: Submersible2
dukes, VehicleHash: Dukes
dominator2, VehicleHash: Dominator2
dodo, VehicleHash: Dodo
marshall, VehicleHash: Marshall
